"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"WISP2",2.47202272793817e-09,1.00395078596663,0.123,0.071,5.49703694011611e-05
"ADH1B",1.8672145240639e-08,1.12233224923961,0.162,0.108,0.00041521249371609
"APOD",3.60210194983302e-06,1.58767054808589,0.192,0.146,0.0800999410584368
"PRELP",4.14673568551456e-06,1.40049230638428,0.156,0.118,0.0922109614387872
"CCL18",1.61681037698724e-05,-1.61937838869728,0.141,0.182,0.359530123530653
"HYAL2",2.86115766864321e-05,1.01983766204683,0.311,0.281,0.636235630776191
"SCGB3A1",6.35879136947903e-05,-1.59955474339284,0.339,0.453,1
"CTGF",0.00424673038241289,1.07793403957862,0.314,0.296,1
"EPAS1",0.00703576747837301,1.17701007594753,0.471,0.486,1
"EMP2",0.0423906126309681,1.08283634392231,0.388,0.424,1
